charityid,charityCategory,title,mission
org14854.htm,Human Services : Multipurpose Human Service Organizations,The First Tee of Connecticut,"Founded in 1997, The First Tee of Connecticut's mission is to impact the lives of young people by providing educational programs that build character, instill life-enhancing values and promote healthy choices through the game of golf. The First Tee of Connecticut is an initiative of the Connecticut Golf Foundation which was created to expose golf to underprivileged youth who might not normally have access to the game. Each year, The First Tee of Connecticut reaches thousands of youth through a variety of ways including In-School and National School Programs, Group Lessons, Squads, On-Course Team Programs and Summer Camps. "
org14758.htm,Human Services : Homeless Services,Rowan Helping Ministries,"Rowan Helping Ministries is a continuation of Rowan Cooperative Christian Ministry, a ministry begun in 1967 by several of Salisbury's downtown churches. Our programs include: the Overnight Shelter, Soup Kitchen, Clothing Center, Food Pantry, Crisis Assistance Network, Transitional Housing Programs, Rowan Helping Ministries-West, and New Tomorrows. We have a full-time staff of nineteen and a part-time staff of twelve. We rely on 30-35 volunteers daily, and without them, Rowan Helping Ministries wouldn't be possible. "
org11191.htm,Community Development : Fundraising,Home School Foundation,"Home School Foundation's mission is to bless homeschoolers and the cause of homeschooling. The Home School Foundation is the charitable arm of Home School Legal Defense Association. It was founded by HSLDA in 1994 with the original focus of helping other homeschool groups. God has since expanded our vision, however, to include needy families within the homeschool community. These two organizations are very closely tied in their mission to help and support the homeschool community. "
org7657.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Girl Scouts of Greater New York,"The Girl Scouts of Greater New York, a separate 501(c)(3) organization chartered by the Girl Scouts of the USA (GSUSA), offers research-based, age-appropriate educational programs that focus on the positive development of over 29,000 girls annually in the five boroughs of New York City. The organization is guided by a powerful mission to build girls of courage, confidence, and character, who make the world a better place. The Girl Scouts of Greater New York seeks to develop in each girl a deepening self awareness, a strong value system, an ability to relate to others and a commitment to society. Girl Scouting fulfills this purpose through the organization of troop and/or group activities, the operation and maintenance of year round camping experiences, and the development of more than 8,100 adult volunteers.  "
org5232.htm,Community Development : Fundraising,Riley Children's Foundation,"Riley Children's Foundation was founded in 1921 to honor beloved Hoosier poet James Whitcomb Riley. Riley Children's Foundation is committed to improving the health and well-being of Indiana's children through our philanthropic leadership in support of Riley Hospital for Children and its research programs, Camp Riley for Youth with Physical Disabilities and the James Whitcomb Riley Museum Home. "
org10746.htm,Human Services : Social Services,Meals On Wheels of San Francisco,"Meals On Wheels San Francisco (MOWSF) exists to alleviate the food insecurity and loneliness experienced by seniors who want to stay in their own home but cannot shop or prepare meals for themselves. Our services are geared towards serving those with the greatest physical, social and economic need. The seniors we serve are frail, have limited ability to purchase or prepare meals, and have little or no support from family or caregivers. All of our clients are physically challenged due to a variety of conditions such as heart disease, cancer, vision loss, arthritis and diabetes. They are also confronted with the anxiety that the cost of living in San Francisco could outweigh their limited income. We serve more than one million meals per year. "
org13164.htm,Community Development : Housing and Neighborhood Development,Morris Habitat for Humanity,"Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope. Moving faith into action, Morris Habitat for Humanity advocates for and builds decent affordable housing to enhance lives and strengthen the community in partnership with volunteers and families in need. Through volunteer labor and donations of money and materials, Morris Habitat for Humanity builds and rehabilitates houses in partnership with families in need. Habitat houses are affordable because there is no profit included in the sale price and no interest is charged on the mortgage. The family's monthly mortgage payments go into a revolving fund which is used to build more houses. "
org11056.htm,Human Services : Social Services,Barnabas Center,"Founded in 1986 Barnabas Center provides qualifying residents of Nassau County with assistance during a crisis. This assistance includes food, subsidies that cover rent and utilities, and vouchers to our New to You resale store for clothing and household goods. The Barnabas Center also offers medical and dental services to adult residents of Nassau County. The Barnabas Samaritan Clinic is a free urgent care medical clinic, where uninsured patients can receive prompt care. The Barnabas Dental Clinic is a low cost clinic which is offered to those who are low income and uninsured. "
org12818.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Westmoreland County Food Bank,"The Westmoreland County Food Bank (WCFB) supplies food to hungry people through a network of food assistance programs in Westmoreland County. Our 40,000 square foot facility is located in Delmont, Pennsylvania. We serve over 7,000 disadvantaged families each month throughout Westmoreland County. By acquiring food through local donations and government food assistance programs (State Food Purchase Grant and The Emergency Food Assistance Program), WCFB is able to serve the community in several ways: we provide food to meal programs, soup kitchens, food pantries, emergency shelters and child care programs; we provide the means for donors to put their food to good use while gaining tax credits; we keep perfectly good food that can't be sold from becoming garbage in land fills. "
org9918.htm,Human Services : Children's and Family Services,U.S. Dream Academy,"Founded in 1998 by Wintley Phipps, The U.S. Dream Academy is helping our nation's children reach for their dreams. Its mission is to empower children who are at risk of incarceration to maximize their potential by providing them with academic, social and values enrichment though supportive mentoring and the use of technology. Through our innovative afterschool and mentoring program, currently operating in ten cities nationwide, we are transforming children into dreamers who envision and realize their potential. Our research-based programs challenge more than 1,000 young people and engage them in active learning through one-on-one mentoring, strong academics, and technology-driven activities and curricula. "
org8684.htm,Community Development : Housing and Neighborhood Development,Nashville Area Habitat for Humanity,"Founded in 1985, Nashville Area Habitat for Humanity is committed to assisting families in need with the life-changing opportunity of buying and owning decent, affordable housing with a team of enthusiastic volunteers and staff guided by Christian values. Nashville Area Habitat for Humanity plays an active role in the development and construction of affordable housing units. We collaborate with many other housing providers and community-based agencies. It took 15 years to build the first 100 homes and only four years for the second 100. We built our next 100 in fewer than three years and plan to build our next 100 homes in just over two years. Nashville Area Habitat for Humanity is now in the top one percent of Habitat for Humanity International affiliates worldwide. "
org10464.htm,Human Services : Homeless Services,Union Gospel Mission of Grays Harbor,"The Union Gospel Mission of Grays Harbor is here for one reason. To help those impacted by homelessness, poverty, despair, and crime. As a Rescue Mission, we chart a path for homeless or near homeless men, women and children from hopelessness to hope by addressing the main problems they struggle with. As a Rescue Mission, we chart a path for homeless or near homeless men, women and children from hopelessness to hope by addressing the main problems they struggle with. Union Gospel Mission has developed an effective program of recovery for men, women and families. Through an individualized Biblical approach to recovery, this innovative program connects the individual with needed community services, and designs a personalized plan for helping them work through the issues that caused their homelessness or addiction. "
org4204.htm,Human Services : Social Services,Native American Rights Fund,"Founded in 1970, the Native American Rights Fund (NARF) is the oldest and largest nonprofit law firm dedicated to asserting and defending the rights of Indian tribes, organizations and individuals nationwide. NARF's practice is concentrated in five key areas: the preservation of tribal existence; the protection of tribal natural resources; the promotion of Native American human rights; the accountability of governments to Native Americans; and the development of Indian law and educating the public about Indian rights, laws, and issues. Throughout its history, NARF has impacted tens of thousands of Indian people in its work for more than 250 tribes. "
org11870.htm,Human Services : Social Services,Abraham House,"Founded in 1993, Abraham House provides a holistic, family-based program of services to offenders and their families, and other families who struggle to cope with poverty, violence, crime, and lack of essential services. Abraham House offers the incarcerated and their relatives a place of hope and community, where lives can be rebuilt, families mended, lessons learned, and men, women and children deeply marked by crime can receive the spiritual, social and practical tools to become productive citizens. Although founded by a French worker priest and Belgian nuns, the program is non-denominational and open to all. The minimum requirement is to be a human being, to be able to relate to others and to have a capacity for trust. "
org4247.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Northwest Harvest,"Northwest Harvest, founded in 1967, is Washington's only statewide non-profit food bank distributor. Our mission is to provide nutritious food to hungry people statewide in a manner that respects their dignity, while working to eliminate hunger. Our vision is that ample nutritious food is available to everyone in Washington State. Currently, 1 of every 6 people in Washington (1 of every 4 children) lives with the risk of hunger. We believe that good food bank nutrition creates a bridge from temporary crisis to stability, allowing people in need to use cash for housing, fuel, utilities, health care or child care. Last year Northwest Harvest distributed more than 26 million pounds of food - over 1.7 million meals every month - to a network of 360 food banks, meal programs and high-need schools throughout Washington.  "
org10602.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Girls Inc. of Greater Santa Barbara,"Founded in 1958 as the Girls Club of Santa Barbara, Girls Inc. of Greater Santa Barbara offers girls ages 4-1/2-18 years with opportunities to experience success as they prepare to lead independent and fulfilling lives. At Girls Inc., every girl has the right to be herself and resist gender stereotypes; to express herself with originality and enthusiasm; to take risks, strive freely, and take pride in success; to accept and appreciate her body; to prepare for interesting work and economic independence; and every girl is valued for who she is. Programs today include: Operation SMART, Media Literacy, Economic Literacy, Preventing Adolescent Pregnancy, Sporting Chance, Friendly Peersuasion, Project Bold, and many more. "
org8269.htm,Community Development : Housing and Neighborhood Development,Metropolitan Planning Council,"Since 1934, the Metropolitan Planning Council (MPC) has been dedicated to shaping a more sustainable and prosperous greater Chicago region. MPC serves communities and residents by connecting the dots between regional needs, challenges, and solutions, and among the individuals and organizations with the power and capacity to guide the growth of the ever-changing Chicago metropolitan region. "
org13102.htm,Community Development : Housing and Neighborhood Development,Municipal Art Society of New York,"Municipal Art Society of New York (MAS) fights for intelligent urban design, planning and preservation through education, dialogue and advocacy. Intelligent urban planning is essential to the thriving character of all cities. MAS shapes and champions grand visions for New York City's future by convening the city's most imaginative thinkers and visionaries - from the city's top architects and developers, to enlightened government officials, to community residents who seek a role in shaping their neighborhoods. "
org10057.htm,Community Development : Fundraising,"Capital Area United Way, Michigan","Founded in 1919, Capital Area United Way's mission is to unite people and resources to solve defined problems and improve the quality of life for individuals and families in our communities. United Way exists for one reason - to strengthen our community through individual and family well-being. Community volunteers from all walks of life identify critical needs in our community and addresses them with collective focus and action through three priority areas: healthy, caring communities; safe, stable households; and learning from youth to young adult. United Way also engages community leaders, businesses and governmental agencies to work together to make our community a better place for everyone. "
org8983.htm,Human Services : Homeless Services,Union Mission Ministries,"Founded in 1892 by a group of Christian businessmen, the Union Mission Ministries has served as a beacon of light to needy people for over 100 years. From its humble beginnings as a small shelter in downtown Norfolk, Virginia, to its present status as the capstone of nine different vital ministries in Norfolk and Virginia Beach, the Mission has remained true to its original purpose: to aid the poor and needy; to reform the erring; to help those that are out of the way; to feed the hungry; to shelter the homeless; to preach the gospel; and to rescue the perishing. "
org13618.htm,Community Development : Fundraising,United Way of Coastal Fairfield County,"United Way of Coastal Fairfield County works to achieve community-wide change that improves the EDUCATION, INCOME and HEALTH of Coastal Fairfield County residents. Our efforts are multi-faceted and incorporate innovation, advocacy and collaboration. Our breadth of experience makes us best suited to address the broad spectrum of community needs. We work to ensure all at-risk children in Coastal Fairfield County are ready to succeed in school and life. "
org10053.htm,Human Services : Homeless Services,MorningStar Mission Ministries,"MorningStar Mission Ministries is a non-denominational organization dedicated to relieving the spiritual and physical hunger of the poor. We do this by providing food for the hungry, clothing for the needy, shelter for the homeless and the Gospel of Jesus Christ for all. Ministering to men, women, children and entire families, MorningStar Mission has served the less fortunate of Joliet and the surrounding Will County area since 1909. Whether it's through a one-time meal or a long-term recovery program, we're committed to offering hope for the hurting. "
org12683.htm,Community Development : Fundraising,United Way of Southern Cameron County,United Way of Southern Cameron County improves lives by mobilizing the caring power of our communities to advance the common good. We are here to bring our communities together to find and address those issues that are most important to you. We put people and resources together to achieve remarkable results. We attain success on issues that matter to you and your neighbors. 
org14747.htm,Human Services : Social Services,SnowCap Community Charities,"SnowCap Community Charities is a philanthropic organization created to provide food, clothing, advocacy and other services to the poor. "
org7620.htm,Human Services : Homeless Services,"Open Door Mission, Houston","Open Door Mission is a faith and evidence based recovery and rehabilitation facility dedicated to transforming the lives of the most severely addicted, destitute, homeless and disabled men in our community.The Mission's goal is to help each person heal holistically - mentally, physically and spiritually. We do this with three programs:RECOVERY: The Alan and Ann Craft DoorWay Alcohol and Drug Recovery Program is an intensive, 9-month, life-transforming residential recovery program with a curriculum of self-discovery and spiritual renewal, EEG OC Biofeedback. After graduation, a transition program is in place in order to transition the men to independent living.LEARNING: The Education Center offers free GED classes, adult literacy and computer classes for our residents. All classes are open to the community.HEALING: The Russell M. Scott, Jr., M.D. Convalescent Care Center (RMSCCC) is a clean, secure place where men can recover from accidents, illnesses or surgery. "
org11338.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Florida Keys Children's Shelter,"The Florida Keys Children's Shelter is more than just a place to stay. Our extensive programs - both residential and non-residential - have helped and counseled thousands of children and families in their time of need since 1985. We're dedicated to providing the best possible solutions for abused, abandoned or neglected children; and children that have run away, are truants, or are considered ungovernable by their parents. In Key West, we offer emergency shelter for children ranging from birth through age ten. Emergency shelter services for kids eleven through seventeen are provided at the shelter located in Tavernier. Project Lighthouse is a youth drop-in center located in Key West, which helps runaway, homeless an at-risk street youth. "
org12040.htm,Human Services : Social Services,Community Action Stops Abuse,"Community Action Stops Abuse (CASA), has been working in the Tampa Bay area since 1977 providing refuge, crisis intervention, advocacy, professional training and community outreach to break the silence that isolates victims of domestic violence and prevents them from a life of hope, independence and peace. CASA staff members understand the courage it takes to disclose abuse, and they work with the community to build a network of support for survivors and their children. "
org15341.htm,Community Development : Housing and Neighborhood Development,Four Bands Community Fund,"Four Bands Community Fund was founded in 2000 and has grown to be the leading organization on the Cheyenne River Indian Reservation in the areas of small business training and lending, entrepreneurship education, and financial literacy. Four Bands also provides services for youth-sowing the seeds to encourage private business ownership and financial literacy at an early age. "
org7459.htm,Community Development : Housing and Neighborhood Development,Asian Pacific Environmental Network,"Founded in 1993, the Asian Pacific Environmental Network (APEN) seeks to empower low-income Asian Pacific Islander (API) communities to achieve environmental and social justice. APEN believes that the environment includes everything around us: where we live, work and play. We strive to build grassroots organizations that will improve the health, well-being and political strength of our communities. APEN currently works on three levels: direct organizing in local communities; building a network of API organizations; and working in multiracial alliances to affect regional and national social change. "
org14911.htm,Human Services : Children's and Family Services,Mission of Hope,"The Mission of Hope exists to provide Christian ministries during appropriate seasons of the year, including Christmas and Easter, through a system of delivering clothes, food, toys, and school supplies to impoverished families of the rural Appalachian region. In addition, the Mission of Hope assists in repairing existing homes or relocating to other homes, provides scholarships for qualifying children, assists in developing skills or expertise for the creation of new or expanded jobs in the area, and assists in locating jobs for persons who are willing to relocate outside the area. "
org5904.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Girls Inc.,"Girls Inc. inspires all girls to be strong, smart, and bold through life-changing programs and experiences that help girls navigate gender, economic, and social barriers. Girls Inc. provides more than 138,000 girls across the U.S. and Canada with life-changing experiences and real solutions to the unique issues girls face, particularly girls from low income communities. Girls Inc. gives girls the right tools and support to succeed, including trained professionals who mentor and guide them in a safe, girls-only environment, peers who share their drive and aspirations, and research-based programming. At Girls Inc., girls learn to set and achieve goals, boldly confront challenges, resist peer pressure, see college as attainable, and explore nontraditional fields. Major programs address math and science education, pregnancy, drug. and violence prevention, media literacy, adolescent health and sports participation. "
org14634.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Wears Valley Ranch,"The year-round ministry of Wears Valley Ranch is to help children from crisis family situations. Our goal is to meet the spiritual, emotional, physical, and educational needs of children who, for various reasons, need a stronger family support system. Each program is designed to address one or more of these specific needs, but all of the programs operate with a common goal -- to see each person inspired to follow Christ, healed from the past, and equipped to reach his or her full potential. "
org8656.htm,Human Services : Homeless Services,Carriage Town Ministries,"Carriage Town Ministries is a Christian Social Services organization established in 1950 to represent Christ in the Flint, Michigan area as it reaches out to the needy or our community. The mission's purpose is to share the Lord Jesus Christ with the homeless women, children, and men of our community through providing food, shelter, clothing and education while encouraging accountability, growth, and ultimately service back to God. While many changes and improvements have taken place since the inception of the mission, there is one thing that has not changed, the desire to reach out to the last, the least, and the lost with the message of hope through Jesus Christ. The purpose of the mission has always been to see lives changed through the power of the Holy Spirit. "
org9316.htm,Human Services : Homeless Services,Rescue Mission Alliance,"The Rescue Mission Alliance is a Christian organization ministering to the needs of the less fortunate in Southern California through emergency and long-term rehabilitation services. The Rescue Mission Alliance has served the homeless for more than 37 years. It has grown from the first location on Sixth Street in Oxnard to multiple locations in four counties throughout Southern California. Several distinct programs are offered at multiple locations, which provide a total Continuum of Care for addressing the needs of the hungry, homeless, and destitute. "
org9169.htm,Human Services : Social Services,Guadalupe Center of Immokalee,"Founded in 1982, the Guadalupe Center of Immokalee works to break the cycle of poverty through education, social, and other support programs and resources. The Center provides social outreach programs with our Soup Kitchen, Showers Program, Back-to-School Shoe Program, and Clothing Room to help ease the day-to-day struggles of families. The Center's educational programs serve the long-term needs of Immokalee by starting with the very young and providing support to children through high school. The programs include Early Childhood Education, After-school Tutoring/Summer Enrichment, and the innovative high school Tutor Corps program. "
org13972.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Hope Center for Kids,"Hope Center for Kids strives to faithfully inspire hope in North Omaha youth and children through education, employability, collaboration and faith. From the first day a child enters our program they are bombarded with hope. Hope that they will be strong enough to combat peer pressure. Hope that they will one day graduate from high school and attend college. Hope that their life has extraordinary meaning. We see strong, intelligent young men and women in North Omaha. Our goal is to allow them to see this as well. By inspiring hope into their lives, we have seen just how capable they are. "
org12078.htm,Community Development : Housing and Neighborhood Development,New Jersey Future,"New Jersey Future is a nonprofit, nonpartisan organization that brings together concerned citizens and leaders to promote responsible land-use policies. The organization employs original research, analysis and advocacy to build coalitions and drive land-use policies that help revitalize cities and towns, protect natural lands and farms, provide more transportation choices beyond cars, expand access to safe and affordable neighborhoods and fuel a prosperous economy. "
org11298.htm,Human Services : Social Services,Interfaith Emergency Services,"Interfaith Emergency Services is a community of faith called by God to offer emergency assistance without judgment to all persons in Marion County. Interfaith provides a full range of services and assistance for residents of Marion County. We serve individuals and families in need. Clients are referred to Interfaith by churches, synagogues, and public services agencies. We provide the basic needs such as food, clothing, shelter, and much more to enhance the quality of life for families and individuals. In 2010, Interfaith Emergency Services through outreach and services touched the lives of more than 150,000 individuals in Marion County. "
org13023.htm,Human Services : Children's and Family Services,San Francisco Child Abuse Prevention Center,The San Francisco Child Abuse Prevention Center prevents child abuse and reduces its devastating impact. 
org11437.htm,Human Services : Children's and Family Services,"Kids House of Seminole, Inc.","Established in 1999, Kids House of Seminole is an independent, non-profit, accredited Children's Advocacy Center dedicated to providing a child friendly, non-threatening environment for child victims of abuse. The unique comprehensive multi-disciplinary approach brings all necessary services under one roof and provides prompt comprehensive care ultimately reducing fear and trauma to children. What began as a grassroots effort to guardian children as they went through the process of abuse report and treatment has become the best system for saving child abuse victims from further and debilitating harm leading to breaking the cycle of abuse. Today, Kids House with 28 employees and over 300 volunteers is the community single point of contact for child victims of sexual, physical and psychological abuse, neglect or witness to severe domestic violence. "
org13686.htm,Community Development : Housing and Neighborhood Development,Habitat for Humanity - North Central Georgia,"Founded in 1995, the mission of Habitat for Humanity - North Central Georgia (HFHNCG) is to seek to put God's love into action. Habitat for Humanity brings people together to build homes, communities and hope. They work in partnership with community sponsors and volunteers to build simple, decent homes for, and with, responsible low-income families selected by the organization. HFHNCG is an independently run and operated affiliate of Habitat for Humanity International. "
org13333.htm,Human Services : Children's and Family Services,Palmer Home for Children,"The mission of Palmer Home for Children is to reflect the hope and love of Christ by providing a stable, long-term Christ-centered home for children who lack an adequate family structure. To that end Palmer Home, as it has since 1895, remains committed to privately-funded, non-government child care which keeps siblings together, models evangelical Christian values, mends emotional scars, restores self-esteem, and provides for each child the full opportunity to reach his or her God-given potential. "
org8862.htm,Human Services : Children's and Family Services,Connie Maxwell Children's Home,"Connie Maxwell Children's Home provides hope for children and families dealing with difficult situations in their lives. This residential childcare ministry is headquartered in Greenwood, SC with four other campuses across the state. The mission of Connie Maxwell Children's Home, a Baptist ministry for children and families of South Carolina, is to care for children while developing and strengthening positive relationships in a Christian environment. "
org12043.htm,Human Services : Social Services,Per Scholas,"Founded in the South Bronx, Per Scholas is a 20-year-old nonprofit social venture that generates powerful free technology education, training and career opportunities for low-income, unemployed individuals. To date, we have provided training to more than 5,000 and placed more than 3,500 in jobs. In 2014, we will train at least 700 adults across five sites nationwide.In 2014, we were recognized by the White House for best practices in helping the long-term unemployed back to work. The Social Impact Exchange named us to its S&I100; index: the nation's top 100 nonprofits poised for growth. The Robin Hood Foundation has called our approach ""indisputable proof that the American Dream still lives.""Our approach is backed by strong results for nearly two decades, and our track record fuels our national replication as employers, funders, and government recognize our value and want to partner and invest in success. "
org5555.htm,Human Services : Multipurpose Human Service Organizations,YMCA of Greater St. Petersburg,"Since 1920, the YMCA of Greater St. Petersburg has helped people in our community and has met the ever-changing needs of children, families, and our surrounding communities. Our commitment to living our charitable mission each day keeps us strong and focused. Our mission is to put Judeo-Christian principles into practice through programs that build healthy spirit, mind and body. Our commitment to our mission is exemplified by embracing these organizational values that set us apart as the preeminent family service organization in the community: integrity, strengthening families, respect, compassion and welfare. The YMCA incorporates its core values of caring, honesty, respect, responsibility, and faith in its policies, programs, and partnerships. "
org8679.htm,Human Services : Homeless Services,Raleigh Rescue Mission,"Raleigh Rescue Mission was founded in 1961 to minister to the growing needs of homeless and hurting men, women and children in our community. The Mission offers both a long-term recovery program and emergency shelter. Raleigh Rescue Mission provides safe housing, clothing and three healthy meals a day, as well as recovery, Christian counseling and other support services to help them achieve their goals and ultimately make a successful transition back into the community. The Mission provides free medical care services to residents through our on-site Medical and Pediatric Clinic and preschool age children receive teaching and loving care in our Children's Development Center. Residents receive job and computer skills training, as well as life skills and educational classes, such as GED, in our Adult Learning Center. "
org9858.htm,Community Development : Housing and Neighborhood Development,Pensacola Habitat for Humanity,"Pensacola Habitat for Humanity was established as an affiliate of Habitat for Humanity International in 1981. Pensacola Habitat is an ecumenical Christian organization committed to the elimination of poverty housing in Escambia and Santa Rosa Counties through the construction of decent, affordable homes. Habitat for Humanity offers a long-term solution, not a quick-fix, to the problem of poverty housing. The organization makes home ownership possible for people who would not otherwise qualify for a conventional mortgage or afford safe, decent shelter. In the process of building new homes, Habitat has cleaned up lots previously used for illegal dumping and has torn down dilapidated structures, making neighborhoods safer and cleaner. "
org7616.htm,Human Services : Social Services,Shelter for Abused Women & Children,"The Shelter for Abused Women & Children works to help adult and child victims and survivors of domestic violence through safety, intervention, and support; to educate the public about domestic violence; and to advocate for social change against domestic violence. Services provided by the Shelter include 24 hour crisis counseling, an emergency safe shelter, a counseling center, a transitional living program, support groups, children's services, direct assistance, and court and legal services. The Shelter's vision is a community without domestic violence so that every home is a safe haven for the family it shelters. "
org10154.htm,Community Development : Fundraising,United Way of Brazoria County,"United Way of Brazoria County raises funds through public contributions and distributes those funds to various charitable organizations. There are three basic things we all need for a good life: A quality education, an income that can support a family, and good health. Over the next ten years, we aim to: cut by half the number of young people who drop out of high school; cut by half the number of lower-income families that lack financial stability; and increase by one third the number of youths and adults who are healthy and avoid risky behaviors. "
org13449.htm,Community Development : Fundraising,United Way of Northwest Arkansas,Our Mission:Uniting our communities to empower people and improve lives.Our Bold Goal:To provide every child a pathway out of poverty. 
org11728.htm,Human Services : Social Services,Boston Chinatown Neighborhood Center,"The mission of Boston Chinatown Neighborhood Center is to that the children, youth and families have the resources and supports they need to achieve greater economic success and social and physical well-being. Since 1969, BCNC has served as a vital link supporting the growing Asian immigrant and Asian American community of greater Boston. With a focus on serving those most in need, over 70% of BCNC's constituents meet federal poverty guidelines. BCNC provides resources that strengthen self-sufficiency and encourages integration into the US while preserving the rich cultural heritage and traditions of the Asian community. BCNC is a state-certified minority provider serving over 2,300 people each year through one or more of the following programs: (1) Acorn Center for Early Education and Care (2) Adult Education (3) Arts and Enrichment (4) Family Child Care (5) Family Services (6) Recreation and Fitness (7) Recreation and Fitness and (8) the Youth Center. "
org4635.htm,Community Development : Fundraising,United Way of Delaware,"United Way of Delaware's (UWD) mission is to maximize the community's resources to improve the quality of life for all Delawareans. United Way of Delaware partners with social service agencies, businesses, government, other nonprofits, and concerned individuals to achieve results that matter and a lasting impact on the quality of life in our community. In 2006, United Way celebrated 60 years as Delaware's premier fundraiser for health and human service programs in our community. But UWD is much more than a fundraiser. Today, UWD is a bridge linking community leaders and agencies together to address Delaware's most pressing problems via these focus areas: Success By Six; strong families, strong children; healthy and independent communities; financial stability; and strong neighborhoods. "
org5053.htm,Community Development : Community Foundations,Community Foundation of New Jersey,"Established in 1979, the Community Foundation of New Jersey is an alliance of families, businesses, and foundations that work together to create lasting differences in lives and communities - today and tomorrow. Donors who establish a charitable fund with us have the opportunity to focus charitable dollars on their timetable - on causes, organizations, and communities they believe in - to achieve their desired impact. The Community Foundation is a platform where ideas are implemented for good. We are a shared, cross-generational response of like-minded individuals to current challenges and future needs. We are a place where change takes hold, and giving becomes legacy. "
org10980.htm,Human Services : Multipurpose Human Service Organizations,Regional YMCA of Western Connecticut,"Founded in 1860, the Regional YMCA of Western Connecticut is a community service organization dedicated to building strong kids, strong families, and strong communities through the development of spirit, mind and body. We strive to serve all, regardless of financial or physical need. The Regional YMCA of Western Connecticut services 22 towns in Connecticut and New York. We are unique in many ways and we offer a depth of youth and adult programs that are truly unmatched in challenge, growth, and fun. We are also proud sponsors of our nationally recognized ESCAPE to the Arts program and Positive Youth Development. "
org5363.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Feeding South Dakota,"Feeding South Dakota is a hunger relief organization that is fighting daily to eliminate hunger in the state. Every single day, Feeding South Dakota provides food resources for an estimated 3,800 people in this state. We help feed over 38,000 families each month and our BackPack Program gives food every weekend to 4,389 kids who otherwise might go hungry. In 2011, Feeding South Dakota as a whole distributed nearly 12.2 million pounds of food in this fight against hunger. "
org11342.htm,Human Services : Social Services,LIFT,"LIFT's mission is to help community members achieve economic stability and well-being. We are working to establish a new standard for holistic and enduring solutions in our country's fight against poverty.LIFT currently runs centers staffed by trained volunteers in Boston, Chicago, New York, Philadelphia, Washington, DC, and LA to serve low-income individuals and families.LIFT clients and volunteers work one-on-one to find jobs, secure safe and stable housing, make ends meet through public benefits and tax credits, and obtain quality referrals for services like childcare and healthcare. Simultaneously, the LIFT experience pushes volunteers to grapple with our country's most challenging issues related to poverty, race, inequality, and policy. Since LIFT's founding, over 6,000 volunteers have served more than 40,000 individuals and families. "
org6829.htm,Community Development : Fundraising,United Way of the Greater Lehigh Valley,"Provide the leadership, convene the partnerships, and develop the resources and solutions that improve our community. United Way of the Greater Lehigh Valley will work tirelessly to ensure children succeed in school, families achieve self-sufficiency and older adults thrive in our community. "
org14523.htm,Human Services : Children's and Family Services,"National Council of Jewish Women, Essex County Section","The National Council of Jewish Women, Essex County Section is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms. Founded in 1912, the Essex Section comprises a collaborative team including a 15-person executive committee, a 60-person section board, 12 staff members, dozens of committee chairs, and hundreds of active volunteers. Our offices are located in Livingston, New Jersey. Our work falls under three broad umbrellas: Community Services for women and children from all over Essex County, New Jersey, as well as the surrounding counties of Union and Morris, and other parts of the state; Events and Programs for our members and for the community at large, and Advocacy, locally and nationally, on behalf of issues that affect women, children, and families. "
org12581.htm,Human Services : Multipurpose Human Service Organizations,Special Olympics Wisconsin,"Special Olympics Wisconsin (SOWI) is a statewide organization providing persons with cognitive disabilities year-round sports training and competition. Individuals who are at least eight years old and are identified as having a cognitive disability are eligible for participation. With seven Area offices throughout the state, Special Olympics Wisconsin serves nearly 10,000 athletes in nearly 189 communities statewide. SOWI's mission is to provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with cognitive disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in the sharing of gifts, skills and friendship with their families, other Special Olympics athletes and the community. "
org13063.htm,Community Development : Fundraising,United Way of Greater Union County,"The mission of United Way of Greater Union County is to ensure the health and human service needs of the community are identified and addressed in ways that create a better quality of life for the residents of Greater Union County. We will accomplish our mission by providing strategic leadership, forging and leveraging partnerships, and by securing the resources necessary to develop and implement lasting solutions to critical health and human services needs and their root causes. For over 90 years, United Way of Greater Union County has been working to improve the lives of everybody throughout Greater Union County. "
org10895.htm,Human Services : Children's and Family Services,Fresh Start Women's Foundation,"Formed in 1992, Fresh Start Women's Foundation is dedicated to helping empower women through the services of the Jewell McFarland Lewis-Fresh Start Women's Resource Center. This Center, the first comprehensive self-help center for women in the country, opened in October, 2002 and is currently accommodating more than 2,500 visits a month by women hoping to improve their lives. The Center is designed for women ages 18 years or older who are seeking information, resources and assistance in their quest for emotional and financial independence. "
